method,run_device,phase,path,ownership,kind,shape,dtype,device,storage_ptr,storage_offset,storage_bytes,logical_bytes,unique_physical_bytes,alias_of,python_shallow_bytes
CA2FL,cpu,after5,state.dict_users.2,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,after5,state.dict_users.3,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,after5,state.dict_users.4,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,after5,state.dict_users.5,shared,list_metadata,,,,,,0,0,0,,64
CA2FL,cpu,after5,state.num_samples,shared,list_metadata,,,,,,0,0,0,,104
CA2FL,cpu,after5,state.delta,shared,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,after5,state.delta[0].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447865728,0,32,32,32,,0
CA2FL,cpu,after5,state.delta[1].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447870400,0,32,32,32,,0
CA2FL,cpu,after5,state.delta[2].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792446923200,0,32,32,32,,0
CA2FL,cpu,after5,state.delta[3].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447869120,0,32,32,32,,0
CA2FL,cpu,after5,state.delta[4].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447861056,0,32,32,32,,0
CA2FL,cpu,after5,state.delta[5].weight,shared,tensor,"(2, 4)",torch.float32,cpu,94792447864448,0,32,32,32,,0
CA2FL,cpu,after5,state.cost,shared,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,after5,state.last_buffer_list,shared,list_metadata,,,,,,0,0,0,,72
CA2FL,cpu,after5,state.last_valid_buffer_list,shared,list_metadata,,,,,,0,0,0,,72
CA2FL,cpu,after5,state.last_invalid_buffer_list,shared,list_metadata,,,,,,0,0,0,,56
CA2FL,cpu,after5,state.last_selected_item_summary,shared,list_metadata,,,,,,0,0,0,,56
CA2FL,cpu,after5,state.client_delay_groups,method_owned,list_metadata,,,,,,0,0,0,,104
CA2FL,cpu,after5,state.client_delay_group_probs,method_owned,list_metadata,,,,,,0,0,0,,88
CA2FL,cpu,after5,state.cache,method_owned,list_metadata,,,,,,0,0,0,,120
CA2FL,cpu,after5,state.cache[0].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447865728,0,32,32,0,state.delta[0].weight,0
CA2FL,cpu,after5,state.cache[1].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447859776,0,32,32,32,,0
CA2FL,cpu,after5,state.cache[2].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446923200,0,32,32,0,state.delta[2].weight,0
CA2FL,cpu,after5,state.cache[3].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446641856,0,32,32,32,,0
CA2FL,cpu,after5,state.cache[4].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792446686400,0,32,32,32,,0
CA2FL,cpu,after5,state.cache[5].weight,method_owned,tensor,"(2, 4)",torch.float32,cpu,94792447854784,0,32,32,32,,0
