config,seed,code_identity,B,K0,ds,staleness_threshold,accuracy_rows,tail10,final_accuracy,accuracy_finite,system_metrics_rows,simulated_wall_time,runtime_sec,status
K16,5,pre-E2 archived E5 identity,10,16,2048,,500,47.5,47.689998626708984,True,500,507.9395592983651,2420.495890724007,complete
B5_rule,1,pre-E2 archived E5 identity,5,7,2048,8,500,31.812999534606934,30.299999237060547,True,500,234.26091485942004,1599.7425577099784,complete
B5_rule,2,pre-E2 archived E5 identity,5,7,2048,8,500,31.545000267028808,34.369998931884766,True,500,233.50113851456402,1916.1049541020184,complete
B5_rule,3,pre-E2 archived E5 identity,5,7,2048,8,500,30.226999855041505,34.5099983215332,True,500,252.4320023359787,1903.0773263509618,complete
B5_rule,4,pre-E2 archived E5 identity,5,7,2048,8,500,30.491000366210937,28.479999542236328,True,500,238.44198148225428,1802.924811046978,complete
B5_rule,5,pre-E2 archived E5 identity,5,7,2048,8,500,23.352999687194824,25.420000076293945,True,500,238.4730013397704,1672.447855578037,complete
B5_fixed,1,pre-E2 archived E5 identity,5,7,2048,4,500,36.736000061035156,35.630001068115234,True,500,236.7355622305672,1971.3631752790534,complete
B5_fixed,2,pre-E2 archived E5 identity,5,7,2048,4,500,38.47599983215332,38.68000030517578,True,500,233.04665744290773,1749.500906262023,complete
B5_fixed,3,pre-E2 archived E5 identity,5,7,2048,4,500,36.557999801635745,36.459999084472656,True,500,251.6899708253338,1908.0285445509944,complete
B5_fixed,4,pre-E2 archived E5 identity,5,7,2048,4,500,38.71800003051758,38.880001068115234,True,500,239.57205991061107,1970.1653391409782,complete
B5_fixed,5,pre-E2 archived E5 identity,5,7,2048,4,500,34.91699981689453,34.619998931884766,True,500,238.66751917331507,2021.8625725330203,complete
B20_rule,1,pre-E2 archived E5 identity,20,7,2048,2,500,54.3259994506836,54.310001373291016,True,500,1157.587251023881,4746.231187514029,complete
B20_rule,2,pre-E2 archived E5 identity,20,7,2048,2,500,53.94800033569336,53.7400016784668,True,500,1145.9176154272088,5026.959839774994,complete
B20_rule,3,pre-E2 archived E5 identity,20,7,2048,2,500,55.219000244140624,54.93000030517578,True,500,1257.639782614034,4516.281703553046,complete
B20_rule,4,pre-E2 archived E5 identity,20,7,2048,2,500,54.12400016784668,54.13999938964844,True,500,1181.3216398926031,4705.197996972012,complete
B20_rule,5,pre-E2 archived E5 identity,20,7,2048,2,500,53.14200019836426,53.369998931884766,True,500,1157.4055306691414,4520.9134333130205,complete
B20_fixed,1,pre-E2 archived E5 identity,20,7,2048,4,500,54.62599983215332,54.560001373291016,True,500,1154.7018918153028,4202.724273856962,complete
B20_fixed,2,pre-E2 archived E5 identity,20,7,2048,4,500,54.751000595092776,54.90999984741211,True,500,1145.8259107621184,4872.054428683012,complete
B20_fixed,3,pre-E2 archived E5 identity,20,7,2048,4,500,54.973999404907225,54.970001220703125,True,500,1245.3017871600705,4887.758815406007,complete
B20_fixed,4,pre-E2 archived E5 identity,20,7,2048,4,500,53.98300018310547,54.2599983215332,True,500,1180.446732671567,4796.291003428982,complete
B20_fixed,5,pre-E2 archived E5 identity,20,7,2048,4,500,53.95200042724609,54.2400016784668,True,500,1151.1405591915966,4570.661959333986,complete
